Empresa;Turno;Día de la semana;Experiencia del conductor;Formación del Paramédico;Nivel del Paramédico;Cantidad de atenciones;Distancia recorrida (Km);Velocidad máxima (Km/h);Consumo de combustible (Galones);Tiempo en Movimiento (h);Tiempo motor ON (h)
TAE;D;6;Principiante;4;B;6;57.2;86;2.4;2.6;3.38
TAD;N;6;Intermedio;1;I;7;71.4;90;3.4;3.4;4.76
TAE;N;5;Intermedio;2;B;7;69.6;92;3.2;2.4;4.08
TAB;D;3;Experto;2;B;6;62;106;2.2;3.1;3.41
TAB;D;5;Principiante;3;I;7;69.6;88;2.6;2.9;4.93
TAD;D;3;Intermedio;1;B;5;52.5;96;1.7;2.5;4.25
TAB;D;7;Intermedio;1;I;9;86.4;95;3.7;3.2;4.8
TAC;D;2;Principiante;3;I;8;84;86;3.3;3;5.1
TAC;N;5;Intermedio;1;B;6;60.9;89;2.5;2.9;4.93
TAB;N;3;Principiante;1;B;6;65;81;2.7;2.6;4.42
TAE;D;4;Intermedio;1;I;8;81.2;90;3.4;2.9;3.48
TAD;N;5;Principiante;2;I;7;66;82;2.8;3;4.2
TAC;N;7;Principiante;3;I;8;75.6;88;3.1;2.8;3.64
TAD;N;3;Experto;4;I;7;72.6;107;3.6;3.3;4.62
TAC;N;2;Principiante;4;I;8;81.2;87;2.8;2.9;4.93
TAB;D;5;Experto;3;I;8;78.3;100;3.2;2.9;4.93
TAD;N;5;Intermedio;4;B;6;65;91;3;2.5;3.75
TAE;N;3;Intermedio;3;B;7;67.2;95;3;3.2;3.84
TAB;D;4;Experto;2;I;9;89.9;101;3.7;3.1;4.03
TAE;N;3;Intermedio;3;B;6;57.5;90;2.4;2.3;2.76
TAD;N;5;Intermedio;4;A;9;86.8;90;3.6;3.1;5.27
TAB;D;2;Principiante;3;I;7;69;85;2.8;3;3.9
TAB;N;3;Experto;2;I;8;84.1;98;3.7;2.9;3.77
TAB;N;4;Intermedio;3;B;6;58;91;2.6;2.9;4.35
TAC;D;7;Principiante;1;I;7;70;87;3.5;2.8;3.36
TAD;N;2;Intermedio;4;B;7;70;93;3;2.8;4.76
TAC;D;3;Principiante;3;I;7;72.8;88;2.4;2.8;3.08
TAC;D;5;Principiante;3;B;6;60;84;2.3;2.5;2.75
TAD;D;5;Principiante;3;I;8;84.1;82;3.2;2.9;4.93
TAB;D;3;Principiante;3;B;6;64;76;2.7;3.2;5.76
TAB;N;2;Principiante;3;I;7;65.1;86;2.5;3.1;4.03
TAC;N;4;Principiante;3;I;7;74.4;80;3;3.1;4.65
TAD;D;2;Intermedio;2;I;7;66.7;89;2.7;2.9;5.22
TAD;N;2;Principiante;1;I;7;72.8;87;2.9;2.8;3.08
TAP;N;6;Intermedio;3;I;7;67.2;90;3.1;2.8;4.48
TAC;N;1;Intermedio;4;B;6;55.2;89;2.4;2.3;4.14
TAB;D;4;Principiante;3;I;8;76.8;86;3.2;3.2;4.48
TAD;D;6;Intermedio;2;I;8;84.1;92;3.1;2.9;3.19
TAB;N;3;Intermedio;1;I;8;80;96;3;3.2;5.44
TAD;D;5;Intermedio;1;B;4;44;91;2;2.2;2.86
TAP;N;1;Intermedio;3;I;8;77.5;94;3.3;3.1;5.58
TAP;D;7;Principiante;3;B;6;64.4;79;2.8;2.8;5.04
TAD;D;2;Intermedio;2;I;9;91.8;94;3.4;3.4;5.1
TAP;D;7;Intermedio;3;B;6;56.7;90;2.8;2.7;4.59
TAC;N;2;Intermedio;3;B;7;65.1;95;2.9;3.1;4.96
TAB;N;5;Intermedio;3;B;6;57.5;90;2.6;2.3;2.53
TAC;D;6;Principiante;2;B;6;63.8;84;2.5;2.9;4.64
TAB;D;4;Intermedio;2;B;6;58.8;90;2.8;2.8;3.08
TAE;N;2;Principiante;2;I;7;68.2;88;2.8;3.1;4.03
TAB;D;5;Principiante;1;I;7;72.9;86;2.8;2.7;4.59
TAP;N;7;Principiante;2;A;9;89.1;88;4.2;3.3;3.63
TAE;D;2;Intermedio;3;B;6;64.8;89;3.4;2.7;3.78
TAB;N;3;Principiante;1;I;7;72.5;84;3.3;2.5;4
TAE;D;2;Principiante;4;B;6;64.8;88;3.1;2.7;3.24
TAB;N;1;Intermedio;3;I;8;80.6;91;4;3.1;4.03
TAP;N;5;Intermedio;2;B;7;67.2;95;2.7;2.8;3.64
TAP;D;1;Principiante;1;B;5;52.9;87;1.9;2.3;3.45
TAC;N;3;Experto;1;B;6;62;99;2.8;3.1;4.34
TAP;D;4;Principiante;2;I;8;75.6;87;3;2.8;3.08
TAD;D;1;Intermedio;3;B;7;73.5;91;3.2;3.5;6.3
TAB;D;5;Experto;1;I;8;83.2;107;3.3;3.2;4.16
TAB;D;7;Principiante;4;I;8;75.6;88;3;2.7;3.78
TAD;D;6;Intermedio;3;B;7;72.9;96;2.8;2.7;3.24
TAC;D;6;Intermedio;1;B;6;62;89;2;3.1;5.58
TAC;D;6;Intermedio;3;B;6;65;90;2.5;2.5;3.5
TAP;D;2;Principiante;1;B;5;54.6;88;2.3;2.6;4.42
TAB;N;1;Principiante;2;B;6;57.2;87;2.4;2.6;3.38
TAB;N;7;Intermedio;4;I;8;81.2;93;3.6;2.9;3.77
TAE;D;7;Principiante;2;B;6;64;82;2.7;3.2;5.76
TAC;N;7;Experto;1;I;9;87;101;3.9;3;4.2
TAB;D;2;Intermedio;3;B;5;48.4;91;2.2;2.2;2.42
TAC;N;7;Principiante;2;B;6;61.6;87;2.4;2.8;3.36
TAB;N;5;Intermedio;2;B;6;63;96;2.7;3;3.9
TAB;D;5;Intermedio;4;I;7;72.9;90;2.9;2.7;3.24
TAD;N;3;Principiante;2;B;5;54;81;2.6;2.7;2.97
TAC;D;4;Intermedio;2;B;5;50;91;1.9;2.5;3.75
TAB;D;5;Intermedio;3;I;9;89.9;90;3.4;3.1;4.34
TAC;N;6;Intermedio;4;I;8;84.1;94;3.3;2.9;4.93
TAC;D;6;Experto;3;B;7;67.5;100;2.9;2.5;3.25
TAP;D;1;Principiante;4;I;8;81.2;87;3.7;2.8;3.08
TAB;D;6;Principiante;4;B;6;62.4;85;2.9;2.6;3.38
TAC;D;2;Intermedio;4;I;8;75.4;98;3.2;2.6;4.16
TAE;N;7;Principiante;3;I;8;84;87;3.6;3;3.3
TAD;D;4;Intermedio;3;I;8;75.6;98;3.1;2.8;3.36
TAB;N;4;Principiante;3;A;9;89.9;88;3.9;3.1;5.58
TAC;D;3;Principiante;1;I;7;67.5;81;3.1;2.5;3.5
TAB;D;1;Intermedio;2;B;6;56.7;92;2.5;2.7;3.51
TAC;D;1;Intermedio;4;B;6;62.1;93;2.4;2.7;2.97
TAC;D;4;Intermedio;4;I;8;81.6;90;3.5;3.4;4.76
TAC;N;7;Principiante;1;I;8;84;85;3.3;3;3.6
TAB;N;6;Principiante;2;B;5;50.4;82;2.4;2.4;4.08
TAD;D;7;Intermedio;1;B;6;58;91;2.5;2.9;4.35
TAB;N;1;Principiante;4;I;9;89.6;87;3.5;3.2;5.76
TAB;N;1;Experto;1;I;8;75;102;2.7;3;5.1
TAD;D;7;Intermedio;4;B;6;64.8;95;2.3;2.7;3.24
TAE;D;6;Principiante;1;I;7;69;80;2;3;4.2
TAD;D;2;Intermedio;4;B;6;64.8;90;2.6;2.7;2.97
TAC;D;5;Experto;3;B;7;72.5;99;3.5;2.5;3
TAC;N;7;Principiante;4;I;8;81.2;88;3.3;2.8;3.08
TAP;D;6;Intermedio;4;B;7;72.8;91;2.8;2.6;4.68
TAP;N;7;Principiante;3;I;7;69.6;80;2.8;2.4;3.84
TAP;D;3;Intermedio;1;B;6;57.5;91;2.5;2.3;2.76
TAD;D;4;Experto;4;B;7;69.6;100;3;2.9;3.48
TAC;N;6;Intermedio;4;B;6;60;90;2.2;3;5.4
TAD;N;7;Principiante;1;A;10;98.6;86;3.8;3.4;5.1
TAD;N;2;Principiante;1;I;8;75.6;89;3;2.7;2.97
TAD;D;6;Principiante;1;B;6;64.4;83;2.9;2.8;5.04
TAD;D;7;Principiante;2;B;5;52.8;87;2.5;2.4;4.32
TAB;N;5;Intermedio;3;B;7;67.5;95;3;2.5;3.25
TAD;N;1;Intermedio;3;B;7;68.2;92;2.7;3.1;5.27
TAD;N;1;Principiante;3;A;10;95.7;83;4.2;3.3;5.28
TAD;D;4;Principiante;3;B;6;57.2;88;2.3;2.6;4.16
TAD;D;2;Principiante;2;I;8;83.2;89;3.7;3.2;5.12
TAB;D;6;Intermedio;3;B;6;62.1;92;2.5;2.7;3.78
TAP;D;5;Principiante;3;I;8;75;88;3.3;3;4.8
TAB;D;6;Intermedio;4;B;7;70;94;2.9;2.5;4.5
TAD;N;5;Principiante;4;I;7;73.6;79;3.4;3.2;3.52
TAC;D;6;Principiante;1;B;6;60;83;2.6;3;3.9
TAD;N;7;Principiante;4;B;6;57.5;75;2.3;2.5;3
TAB;N;1;Principiante;1;I;7;67.2;84;2.6;2.4;3.84
TAB;N;6;Intermedio;2;B;6;59.4;91;2;2.7;4.59
TAC;D;2;Intermedio;2;I;8;83.7;93;3.1;3.1;4.65
TAB;N;5;Principiante;4;B;6;63;84;2.8;3;5.4
TAP;D;4;Intermedio;3;B;7;66;93;2.7;3;4.8
TAB;D;4;Intermedio;2;I;8;81.2;89;3.3;2.9;3.77
TAP;N;7;Intermedio;4;I;7;70;89;2.8;2.5;4.25
TAC;N;1;Intermedio;2;B;7;70;94;2.3;2.8;3.36
TAB;N;5;Intermedio;3;B;6;64.8;93;2.8;2.7;4.32
TAC;D;1;Intermedio;2;B;6;58.8;90;2.1;2.8;5.04
TAP;D;3;Intermedio;2;B;6;57.6;91;2.6;2.4;3.6
TAD;D;6;Intermedio;4;B;7;67.5;93;3;2.5;3.25
TAB;N;2;Principiante;3;B;6;64.8;85;2.3;2.7;4.59
TAB;D;6;Intermedio;4;I;8;84;92;3.3;3;4.8
TAD;D;3;Principiante;2;I;7;69.6;88;2.7;2.9;4.64
TAB;D;5;Intermedio;3;B;7;67.6;95;3.3;2.6;3.38
TAD;N;5;Principiante;1;B;6;58;86;2.3;2.9;4.64
TAD;N;4;Experto;2;I;8;77;103;3.9;3.5;5.25
TAP;D;7;Principiante;2;I;7;67.5;82;2.7;2.7;3.51
TAD;D;1;Principiante;4;B;6;59.8;87;2.8;2.6;3.64
TAE;N;7;Intermedio;2;B;6;64.4;95;2.8;2.8;4.76
TAB;N;6;Intermedio;2;B;5;52.5;90;2.1;2.5;3.75
TAC;D;3;Intermedio;3;B;7;67.5;96;2.5;2.7;4.86
TAC;D;2;Principiante;2;I;8;79.2;86;3.7;3.3;3.63
TAC;N;7;Principiante;4;I;7;74.4;85;3.5;3.1;3.41
TAD;D;3;Principiante;1;B;5;52;81;2;2.6;2.86
TAC;N;1;Intermedio;2;B;6;62.4;94;3.1;2.6;3.38
TAP;N;7;Principiante;3;I;7;72;85;3;3;4.8
TAC;D;7;Principiante;3;I;7;72.9;85;3;2.7;3.78
TAD;D;7;Intermedio;3;B;7;68.2;97;2.3;3.1;4.96
TAC;D;3;Intermedio;1;B;6;57.5;95;2.8;2.3;2.76
TAD;N;7;Intermedio;2;B;6;55;92;2.5;2.5;2.75
TAE;N;4;Principiante;1;I;8;81;82;3.8;3;4.8
TAP;D;5;Intermedio;3;B;5;52.5;89;1.9;2.1;3.36
TAP;N;2;Intermedio;2;B;7;69.6;95;3;2.4;2.88
TAB;D;1;Intermedio;3;B;6;63.8;91;2.3;2.9;3.48
TAP;N;5;Principiante;4;B;6;60;82;2.3;2.5;3.5
TAP;D;1;Principiante;2;B;6;62.4;87;2.7;2.6;3.38
TAC;N;4;Intermedio;4;B;5;52;93;1.6;2.6;3.12
TAD;N;4;Principiante;4;I;7;71.3;87;3;3.1;3.41
TAC;N;2;Intermedio;2;I;7;70.2;89;2.5;2.7;2.97
TAD;N;3;Principiante;4;A;10;95.7;87;4.2;3.3;4.62
TAP;D;2;Intermedio;4;I;8;75.6;89;3;2.7;3.51
TAB;N;1;Principiante;3;I;7;70;87;3;2.8;4.2
TAD;N;6;Principiante;4;I;8;81.2;87;3.7;2.8;4.76
TAD;N;3;Intermedio;1;B;5;50.6;89;2.5;2.3;3.22
TAD;N;6;Intermedio;3;B;6;63.8;95;2.9;2.9;4.93
TAD;N;2;Intermedio;4;B;6;62;96;2.4;3.1;4.65
TAC;N;7;Intermedio;3;A;9;89.9;89;4;3.1;4.96
TAD;D;7;Intermedio;2;I;7;67.5;90;2.8;2.5;3
TAB;D;2;Principiante;1;I;8;81;84;2.9;3;4.5
TAP;N;1;Principiante;2;I;8;78;82;3.5;3;5.4
TAD;D;1;Principiante;2;I;7;66.7;87;2.5;2.9;4.35
TAE;D;7;Intermedio;1;I;8;75.6;91;2.9;2.7;2.97
TAB;D;3;Principiante;3;I;8;78.3;85;3.3;2.7;2.97
TAD;D;5;Intermedio;4;B;7;71.3;92;3;3.1;4.34
TAD;D;6;Intermedio;3;A;10;95.2;89;4;3.4;4.42
TAC;N;7;Intermedio;4;B;6;59.4;96;2.4;2.7;4.05
TAD;N;7;Intermedio;2;B;6;62.4;95;3.2;2.6;3.38
TAP;D;4;Intermedio;2;B;5;52.5;94;1.8;2.5;2.75
TAD;N;7;Principiante;1;I;8;83.7;88;3.7;3.1;4.96
TAB;N;5;Principiante;4;I;8;81.2;85;3.4;2.8;4.2
TAC;D;7;Intermedio;2;B;6;59.4;93;2.3;2.7;3.51
TAC;D;3;Principiante;2;B;6;63.8;87;2.1;2.2;3.3
TAC;N;1;Intermedio;1;I;8;81.2;91;3.5;2.9;3.77
TAP;N;7;Principiante;4;B;6;57.5;88;2.3;2.5;4
TAC;D;4;Experto;2;B;7;67.2;99;3.3;2.8;3.08
TAC;N;4;Intermedio;2;B;5;52;93;2.2;2;3
TAC;N;7;Principiante;1;I;8;75.9;81;3.2;3.3;4.62
TAP;N;3;Intermedio;1;B;5;50.6;90;1.7;2.2;3.96
TAB;D;4;Principiante;1;I;8;78.2;87;3.3;3.4;5.78
TAC;D;7;Principiante;2;B;6;56;86;2.1;2.8;3.64
TAB;N;1;Experto;2;B;6;56.7;99;2.8;2.7;4.86
TAD;D;3;Principiante;4;B;6;58;88;2.1;2.9;5.22
TAD;D;3;Intermedio;1;B;6;60;94;2.2;2.4;3.84
TAC;N;3;Principiante;3;B;6;59.4;82;2.2;2.7;3.24
TAE;N;7;Intermedio;1;B;6;65;93;2.7;2.5;4.25
TAE;N;4;Principiante;4;B;6;58;88;2.3;2;3.6
TAE;D;7;Intermedio;4;I;8;84;90;3.3;3;3.9
TAD;N;2;Principiante;3;I;7;70;85;2.1;2.8;3.36
TAP;N;5;Principiante;4;B;5;54.6;86;2.4;2.1;2.52
TAE;D;5;Intermedio;3;B;7;74;96;2.9;3.7;5.55
TAD;D;1;Intermedio;2;B;7;72.8;92;3.5;2.6;2.86
TAB;D;5;Principiante;3;B;6;64.8;87;3;2.7;3.24
TAP;N;4;Principiante;3;I;7;68.2;80;2.9;3.1;4.96
TAC;D;4;Intermedio;4;I;8;75.4;91;3.5;2.9;3.48
TAC;D;4;Intermedio;1;B;6;62.1;91;2.6;2.7;3.24
TAD;N;7;Principiante;1;I;7;69.6;86;3.1;2.4;4.32
TAB;N;3;Principiante;1;B;6;65;85;2.6;2.6;4.16
TAD;D;7;Intermedio;2;B;5;52.8;91;2.6;2.4;4.08
TAD;N;1;Intermedio;1;B;6;56;91;2.2;2.8;3.36
TAD;D;2;Intermedio;2;B;7;70.4;93;2.5;3.2;4.16
TAP;D;5;Intermedio;4;I;8;75.4;91;3.4;2.9;3.77
TAD;D;4;Intermedio;2;B;7;67.2;94;2.6;2.4;3.36
TAP;N;4;Intermedio;2;B;5;48;89;2.3;2.4;3.84
TAP;D;1;Intermedio;4;B;7;70;97;3.4;2.8;3.64
TAP;D;2;Intermedio;1;B;7;71.3;94;3.1;3.1;3.72
TAD;N;3;Intermedio;2;B;6;60;89;2.6;3;4.8
TAC;D;7;Principiante;4;I;7;69.6;87;3;2.9;3.19
TAC;N;1;Intermedio;2;I;8;78.4;92;3.5;2.8;4.48
TAC;D;2;Intermedio;4;I;8;78.4;93;3.9;2.8;3.92
TAP;N;5;Intermedio;2;I;7;71.3;96;3.3;3.1;4.96
TAB;D;1;Intermedio;4;B;6;64.8;90;2.8;2.7;3.78
TAD;N;3;Principiante;4;B;6;55.2;80;2.1;2.4;4.08
TAC;N;2;Intermedio;3;B;7;71.3;91;3.4;3.1;3.72
TAD;D;4;Intermedio;1;I;7;69.3;90;2.7;3.3;3.96
TAD;N;5;Principiante;1;I;7;70.2;86;2.4;2.6;4.16
TAB;N;1;Intermedio;4;I;8;84.1;90;3.3;2.9;3.48
TAC;N;6;Intermedio;1;B;6;64.4;93;2.3;2.8;5.04
TAP;D;7;Intermedio;4;I;8;75.4;96;3.3;2.9;4.93
TAE;N;6;Principiante;3;I;7;72.5;84;3.2;2.5;2.75
TAB;N;4;Principiante;1;I;7;67.2;87;2.6;2.8;4.76
TAP;D;7;Experto;2;B;7;66.7;100;2.7;2.9;3.77
TAB;N;2;Principiante;1;B;5;52;83;1.8;2.6;3.64
TAE;D;3;Principiante;2;I;7;69.6;84;2.6;2.9;3.19
TAP;D;6;Principiante;1;B;5;54;83;1.8;2.7;3.51
TAD;N;3;Intermedio;4;I;9;92.4;94;3.9;3.3;5.28
TAD;D;5;Intermedio;3;A;9;87;94;3.5;3;4.8
TAP;D;5;Principiante;1;I;7;67.2;87;3.1;2.8;3.08
TAC;N;3;Principiante;3;I;8;75.4;86;2.7;2.9;4.64
TAB;D;1;Principiante;1;B;5;52.9;85;2.4;2.3;4.14
TAC;N;7;Principiante;1;I;7;72;88;3;3;3.9
TAP;D;1;Intermedio;2;B;6;59.8;95;2.2;2.6;3.64
TAD;N;5;Principiante;3;I;8;75.6;88;3;2.7;4.59
TAC;N;7;Intermedio;1;B;7;69;91;3.3;3;3.6
TAC;N;3;Principiante;2;I;7;65.1;87;2.9;3.1;3.72
TAB;N;6;Intermedio;3;B;6;57.5;90;2.5;2.5;4
TAB;D;6;Principiante;1;B;6;59.8;81;2.8;2.6;4.42
TAD;D;5;Principiante;2;I;7;70.2;83;3;2.6;4.42
TAP;D;1;Principiante;2;B;6;64.4;89;2.3;2.8;4.2
TAP;D;6;Intermedio;3;I;8;75.6;95;3.1;2.7;3.78
TAC;N;1;Experto;1;B;6;56;100;1.8;2.8;3.92
TAC;D;6;Principiante;1;B;6;64.8;83;2.6;2.4;3.36
TAB;D;7;Experto;3;I;8;78.3;101;3.6;2.9;3.19
TAD;N;4;Intermedio;1;I;8;81;92;3.8;3;3.3
TAC;D;3;Principiante;1;B;6;64.8;81;2.1;2.4;2.88
TAP;D;1;Intermedio;3;B;6;63.8;93;2.7;2.2;3.52
TAD;N;7;Intermedio;1;B;6;60.9;97;2.3;2.9;4.06
TAC;D;4;Principiante;3;B;6;58;81;2.4;2.9;5.22
TAC;N;6;Principiante;3;I;8;78.3;83;3.4;2.9;4.64
TAE;D;5;Principiante;4;B;6;57.5;88;2.7;2.5;3.5
TAD;D;2;Principiante;3;I;7;66.7;83;2.8;2.9;4.93
TAP;D;7;Principiante;2;I;7;67.2;87;2.9;3.2;4.16
TAB;N;7;Intermedio;3;I;8;81;91;3.4;3;3.6
TAP;D;7;Intermedio;2;B;7;65.1;92;3.1;3.1;3.41
TAP;D;6;Principiante;1;I;7;72.8;79;3;2.8;3.64
TAC;D;5;Intermedio;4;I;8;80.6;96;3;3.1;3.72
TAD;D;7;Principiante;1;I;7;68.2;89;2.5;3.1;5.58
TAD;D;2;Intermedio;4;B;7;66;94;2.4;3.3;5.94
TAP;N;4;Principiante;1;I;8;78;86;3.4;3;4.8
TAD;D;6;Principiante;4;I;7;72.9;88;3;2.7;4.86
TAP;N;2;Intermedio;1;B;6;55.2;97;2;2.4;3.6
TAP;D;7;Intermedio;1;A;10;101.5;91;4.3;3.5;5.25
TAP;D;4;Intermedio;3;B;6;60.9;93;2.8;2.9;5.22
TAD;D;3;Intermedio;3;B;6;61.6;91;2.4;2.2;3.08
TAC;N;6;Intermedio;2;B;6;58.8;90;2.8;2.8;3.64
TAD;D;6;Intermedio;3;B;5;52.5;90;1.9;2.5;4
TAD;N;4;Principiante;1;I;7;65.1;87;2.8;3.1;5.58
TAD;N;7;Principiante;2;B;5;54.6;87;2;2.6;2.86
TAP;N;1;Intermedio;1;B;7;65.1;91;2.3;3.1;4.65
TAP;N;6;Intermedio;2;I;8;83.7;93;3.6;3.1;3.72
TAB;N;6;Intermedio;3;I;8;75.6;98;3.3;2.8;4.2
TAD;N;3;Intermedio;3;B;6;60;94;2.7;3;3.9
TAP;N;3;Experto;4;B;6;56;99;2.1;2.8;3.64
TAP;D;2;Intermedio;3;I;8;75.6;91;2.6;2.7;3.24
TAP;N;5;Intermedio;2;B;7;70;95;2.6;2.5;4.5
TAD;N;3;Intermedio;3;I;9;89.1;94;4;3.3;5.61
TAP;D;2;Intermedio;3;B;7;72.6;92;2.8;3.3;4.95
TAP;D;3;Intermedio;1;B;7;69;94;3.4;3;5.4
TAB;D;5;Principiante;2;B;6;55;87;2.3;2.5;3.5
TAD;N;5;Principiante;1;I;8;78;86;3;3;5.4
TAB;D;6;Principiante;4;I;7;69;81;2.8;3;4.5
TAP;D;3;Intermedio;3;I;8;75.4;95;3.2;2.9;4.93
TAB;N;4;Intermedio;1;B;6;64.4;94;3;2.3;2.99
TAB;N;5;Intermedio;3;B;7;72.9;92;3.3;2.7;4.59
TAD;D;6;Intermedio;2;B;7;72.5;93;3.2;2.9;4.93
TAD;D;6;Principiante;1;I;8;78.4;89;3.3;2.8;3.08
TAB;D;3;Intermedio;2;I;8;75.4;97;3.6;2.6;4.68
TAD;N;5;Principiante;3;I;7;67.5;89;2.8;2.7;4.05
TAC;D;2;Intermedio;3;B;7;65.1;94;2.3;3.1;3.41
TAP;D;2;Intermedio;1;B;6;62.1;92;2.9;2.3;4.14
TAC;N;4;Principiante;3;I;8;80.6;87;3.9;3.1;5.27
TAE;N;1;Intermedio;3;B;4;44.1;97;2.4;2.1;3.36
TAD;N;7;Principiante;1;B;6;62.1;89;2.6;2.3;3.91
TAD;N;4;Intermedio;4;B;6;62.5;91;2.6;2.5;4
TAP;D;7;Intermedio;3;B;7;74.4;95;3.1;3.1;4.65
TAC;N;1;Experto;1;B;7;69.6;104;2.6;2.4;4.08
TAP;N;6;Principiante;1;A;9;89.9;88;4.3;3.1;4.03
